text,lang_zh,subType,dir
streaked hair,条染,普通,容貌/头发
multicolored hair,多彩头发,普通,容貌/头发
colored inner hair,内侧染色,普通,容貌/头发
blonde hair,金发,普通,容貌/头发
silver hair,银发,普通,容貌/头发
grey hair,灰发,普通,容貌/头发
white hair,白发,普通,容貌/头发
brown hair,茶发,普通,容貌/头发
light brown hair,浅褐发,普通,容貌/头发
black hair,黑发,普通,容貌/头发
purple hair,紫发,普通,容貌/头发
red hair,红发,普通,容貌/头发
blue hair,蓝发/水色发,普通,容貌/头发
dark blue hair,深蓝发,普通,容貌/头发
light blue hair,浅蓝发,普通,容貌/头发
green hair,绿发,普通,容貌/头发
pink hair,粉发,普通,容貌/头发
gradient hair,渐变发色,普通,容貌/头发
rainbow hair,彩虹发,普通,容貌/头发
ahoge,呆毛,普通,容貌/头发
asymmetrical hair,非对称发型,普通,容貌/头发
bangs,刘海,普通,容貌/头发
blunt bangs,齐刘海,普通,容貌/头发
braid,辫子,普通,容貌/头发
braided ponytail,编织马尾辫,普通,容貌/头发
curly hair,卷发,普通,容貌/头发
curtained hair,窗帘/瀑布发型,普通,容貌/头发
double bun,双团子头,普通,容貌/头发
drill hair,钻头卷/公主卷,普通,容貌/头发
twin drills,双钻头卷,普通,容貌/头发
quad drills,多钻头卷,普通,容貌/头发
side drill,单侧钻头卷,普通,容貌/头发
french braid,法式辫,普通,容貌/头发
hair behind ear,耳后发,普通,容貌/头发
hair between eyes,眼间刘海,普通,容貌/头发
crossed bangs,交错刘海,普通,容貌/头发
hair bun,团子头,普通,容貌/头发
hair intakes,进气口发型,普通,容貌/头发
hair over shoulder,披肩发,普通,容貌/头发
hime cut,姬发式,普通,容貌/头发
long hair,长发,普通,容貌/头发
messy hair,凌乱发型,普通,容貌/头发
parted bangs,分开的刘海,普通,容貌/头发
ponytail,马尾,普通,容貌/头发
short hair,短发,普通,容貌/头发
short ponytail,短马尾,普通,容貌/头发
side swept bangs,朝一个方向的刘海,普通,容貌/头发
side ponytail,侧马尾,普通,容貌/头发
twin braids,双辫子,普通,容貌/头发
twintails,双马尾,普通,容貌/头发
very long hair,很长的头发,普通,容貌/头发
front ponytail,前马尾,普通,容貌/头发
short twintails,短双马尾,普通,容貌/头发
folded ponytail,折叠马尾,普通,容貌/头发
quad tails,四马尾,普通,容貌/头发
single braid,单辫,普通,容貌/头发
low twin braids,低双辫,普通,容貌/头发
side braid,侧辫,普通,容貌/头发
crown braid,冠型织辫,普通,容貌/头发
dreadlocks,脏辫,普通,容貌/头发
cone hair bun,锥形发髻,普通,容貌/头发
braided bun,辫子髻,普通,容貌/头发
doughnut hair bun,圆环发髻,普通,容貌/头发
heart hair bun,心形发髻,普通,容貌/头发
wavy hair,自然卷,普通,容貌/头发
asymmetrical bangs,不对称刘海,普通,容貌/头发
swept bangs,扫浏海,普通,容貌/头发
sidelocks,耳前发,普通,容貌/头发
single sidelock,单耳前发,普通,容貌/头发
hair pulled back,头发后梳,普通,容貌/头发
half updo,侧发后梳,普通,容貌/头发
hair one side up,一侧绑发,普通,容貌/头发
hair two side up,双侧绑发,普通,容貌/头发
hair spread out,散发,普通,容貌/头发
floating hair,漂浮的头发,普通,容貌/头发
straight hair,直发,普通,容貌/头发
big hair,头发很多的,普通,容貌/头发
crystal hair,水晶状的头发,普通,容貌/头发
expressive hair,富有表现力的头发,普通,容貌/头发
hair over eyes,头发遮着双眼,普通,容貌/头发
hair strand,强调一缕一缕感的发型/发丝,普通,容貌/头发
hair over one eye,头发遮住了一只眼睛,普通,容貌/头发
shiny hair,有光泽的头发,普通,容貌/头发
wet hair,湿头发,普通,容貌/头发
hair slicked back,垂下的长鬈发,普通,容貌/头发
high ponytail,披在两侧的两条辫子,普通,容貌/头发
long braid,侧马尾,普通,容貌/头发
low-tied long hair,直发,普通,容貌/头发
low ponytail,低扎马尾,普通,容貌/头发
low twintails,低扎双尾,普通,容貌/头发
medium hair,中等长发,普通,容貌/头发
ringlets,垂下的长鬈发,普通,容貌/头发
side braids,披在两侧的两条辫子,普通,容貌/头发
side bun,披在两侧的发髻,普通,容貌/头发
split ponytail,尾部散开的单马尾发型,普通,容貌/头发
two side up,小型双股辫,普通,容貌/头发
absurdly long hair,超长的头发,普通,容貌/头发
cloud hair,云絮状发型,普通,容貌/头发
flipped hair,外卷发型,普通,容貌/头发
tentacle hair,触手头发,普通,容貌/头发
very short hair,很短的头发,普通,容貌/头发
bangs pinned back,掀起的刘海,普通,容貌/头发
braided bangs,辫子刘海,普通,容貌/头发
diagonal bangs,斜刘海,普通,容貌/头发
single hair intake,单侧进气口发型,普通,容貌/头发
hair ears,耳状头发,普通,容貌/头发
bald,秃头,普通,容貌/头发
bald girl,秃头女孩,普通,容貌/头发
bowl cut,锅盖头,普通,容貌/头发
buzz cut,寸头,普通,容貌/头发
chonmage,丁髷,普通,容貌/头发
crew cut,平头/板寸头,普通,容貌/头发
flattop,平顶,普通,容貌/头发
okappa,河童头,普通,容貌/头发
pixie cut,精灵头,普通,容貌/头发
undercut,帽盔式发型,普通,容貌/头发
bob cut,波波头,普通,容貌/头发
cornrows,玉米垄发型,普通,容貌/头发
mullet,鲻鱼头,普通,容貌/头发
bow-shaped hair,弓形头发,普通,容貌/头发
front braid,前辫,普通,容貌/头发
multiple braids,多股(麻花)辫,普通,容貌/头发
tri braids,三股辫,普通,容貌/头发
quad braids,四股辫,普通,容貌/头发
triple bun,三发髻,普通,容貌/头发
hair rings,发圈,普通,容貌/头发
tied hair,扎头发,普通,容貌/头发
single hair ring,单发圈,普通,容貌/头发
one side up,只扎了一边的头发,普通,容貌/头发
low-braided long hair,低辫长发,普通,容貌/头发
mizura,角发,普通,容貌/头发
multi-tied hair,多扎头发,普通,容貌/头发
nihongami,日本发,普通,容貌/头发
topknot,丸子头,普通,容貌/头发
uneven twintails,两股辫子大小不一,普通,容貌/头发
tri tails,有三股辫子,普通,容貌/头发
quin tails,有五股辫子,普通,容貌/头发
afro,鸟窝头/爆炸头,普通,容貌/头发
huge afro,超大鸟窝头,普通,容貌/头发
beehive hairdo,蜂窝头,普通,容貌/头发
pompadour,蓬帕杜发型,普通,容貌/头发
quiff,蓬松感油头,普通,容貌/头发
hair flaps,在摆动的头发,普通,容貌/头发
pointy hair,带着尖角的发型,普通,容貌/头发
spiked hair,刺刺的头发,普通,容貌/头发
widow's peak,美人尖,普通,容貌/头发
heart ahoge,心形呆毛,普通,容貌/头发
huge ahoge,大呆毛,普通,容貌/头发
antenna hair,多根呆毛,普通,容貌/头发
comb over,遮盖头发稀少部分,普通,容貌/头发
mohawk,莫霍克发型,普通,容貌/头发
lone nape hair,孤颈毛,普通,容貌/头发
hair bikini,头发比基尼,普通,容貌/头发
hair scarf,头发围巾,普通,容貌/头发
